,model,metric,fold,value
428,RandomForest,tn_rate,8,0.4605263157894737
429,RandomForest,tn_rate,9,0.5131578947368421
430,RandomForest,fp_rate,0,0.19480519480519481
431,RandomForest,fp_rate,1,0.1038961038961039
432,RandomForest,fp_rate,2,0.14285714285714285
433,RandomForest,fp_rate,3,0.09090909090909091
434,RandomForest,fp_rate,4,0.12987012987012986
435,RandomForest,fp_rate,5,0.14285714285714285
436,RandomForest,fp_rate,6,0.1038961038961039
437,RandomForest,fp_rate,7,0.16883116883116883
438,RandomForest,fp_rate,8,0.19736842105263158
439,RandomForest,fp_rate,9,0.14473684210526316
440,RandomForest,fn_rate,0,0.05194805194805195
441,RandomForest,fn_rate,1,0.07792207792207792
442,RandomForest,fn_rate,2,0.11688311688311688
443,RandomForest,fn_rate,3,0.09090909090909091
444,RandomForest,fn_rate,4,0.06493506493506493
445,RandomForest,fn_rate,5,0.1038961038961039
446,RandomForest,fn_rate,6,0.07792207792207792
447,RandomForest,fn_rate,7,0.06493506493506493
448,RandomForest,fn_rate,8,0.06578947368421052
449,RandomForest,fn_rate,9,0.14473684210526316
450,RandomForest,tp_rate,0,0.2987012987012987
451,RandomForest,tp_rate,1,0.2727272727272727
452,RandomForest,tp_rate,2,0.23376623376623376
453,RandomForest,tp_rate,3,0.2597402597402597
454,RandomForest,tp_rate,4,0.2857142857142857
455,RandomForest,tp_rate,5,0.24675324675324675
456,RandomForest,tp_rate,6,0.2727272727272727
457,RandomForest,tp_rate,7,0.2857142857142857
458,RandomForest,tp_rate,8,0.27631578947368424
459,RandomForest,tp_rate,9,0.19736842105263158
460,RandomForest,relative_accuracy,0,1.0
461,RandomForest,relative_accuracy,1,0.95
462,RandomForest,relative_accuracy,2,1.0
463,RandomForest,relative_accuracy,3,0.9565217391304348
464,RandomForest,relative_accuracy,4,1.0
465,RandomForest,relative_accuracy,5,0.9090909090909091
466,RandomForest,relative_accuracy,6,0.9411764705882353
467,RandomForest,relative_accuracy,7,1.0
468,RandomForest,relative_accuracy,8,0.8695652173913043
469,RandomForest,relative_accuracy,9,0.875
470,RandomForest,relative_recall,0,1.0
471,RandomForest,relative_recall,1,0.9333333333333333
472,RandomForest,relative_recall,2,1.0
473,RandomForest,relative_recall,3,0.9444444444444444
474,RandomForest,relative_recall,4,1.0
